Long[degrees_east]|Lat[degrees_north]||N|CRUISE|STATION|SHIP|dd/mm/yy|hh:mm|Long[degrees_east]|Lat[degrees_north]|Bot.Depth[m]|Meteo|Secchi(m)|TEMP|SAL|DENS|pH|AlkalTot|Oxyg|Ox%|NH3|NO2|NO3|PO4|Si|Chla|Pheo|ALKY|NTOT|TPHP|TPHS|TSMP|CO2|AUT|PP|Xkm|Ykm|DAY|MONTH|YEAR|STAT|DIATO|DINO|FLAG|COCCO|TOTALE|QUOTEZOO|METRICUBI
||||||||||||||||||millieq|ml/l||microMol|microMol|microMol|microMol|microMol|ug/l|ug/l|||||mg/l|mmol/l||mgC/m3/h|||||||cell/ml|cell/ml|cell/ml|cell/ml|cell/ml||
13.11|45.16|-10.00|5710|PCO07|070C_13/07/1987|MINERVA|13/07/1987|7.34|13.11|45.16|34||17|21.28|37.56||8.13||5.77||0.34|0.01|0.05|0.03|1.57|0.21||||||0.68|||||||||070C|||||||
13.11|45.16|-15.00|5711|PCO07|070C_13/07/1987|MINERVA|13/07/1987|7.34|13.11|45.16|34||17|17.03|38.16||8.18||6.61||0.35|0.01|0.1|0.03|1.43|0.27||||||0.87|||||||||070C|||||||
13.11|45.16|-20.00|5712|PCO07|070C_13/07/1987|MINERVA|13/07/1987|7.34|13.11|45.16|34||17|14.39|38.33||8.17||6.54||0.39|0.02|0.07|0.04|2.31|0.54||||||0.82|||||||||070C|||||||
13.11|45.16|-25.00|5713|PCO07|070C_13/07/1987|MINERVA|13/07/1987|7.34|13.11|45.16|34||17|11.25|38.17||8.1||5.08||0.5|0.02|0.08|0.05|5.26|0.76||||||1.01|||||||||070C|||||||
13.11|45.16|-33.00|5714|PCO07|070C_13/07/1987|MINERVA|13/07/1987|7.34|13.11|45.16|34||17|11.29|38.17||8.08||5.02||0.59|0.04|0.11|0.06|14.99|2.18||||||2.85|||||||||070C|||||||
12.76|44.95|-0.80|5715|PCO07|041D0_14/07/1987|MINERVA|14/07/1987|0.00.00|12.76|44.95|27|||25.33|32.74|||||||||||||||||||8||2389.44|4947.4|15|7|1987|090F1|5325|100|25|25|5875||
12.76|44.95|-6.00|5716|PCO07|041D0_14/07/1987|MINERVA|14/07/1987|0.00.00|12.76|44.95|27|||23.37|36.07|||||||||||||||||||60||2389.44|4947.4|15|7|1987|090F1|1340|90|130|0|1590||
12.76|44.95|-11.00|5717|PCO07|041D0_14/07/1987|MINERVA|14/07/1987|0.00.00|12.76|44.95|27|||19.43|37.12|||||||||||||||||||110||2389.44|4947.4|15|7|1987|090F1|1300|160|240|0|1800||
12.76|44.95|-13.00|5718|PCO07|041D0_14/07/1987|MINERVA|14/07/1987|0.00.00|12.76|44.95|27|||17.61|37.24|||||||||||||||||||130||2389.44|4947.4|15|7|1987|090F1|845|45|280|15|1185||
12.76|44.95|-15.10|5719|PCO07|041D0_14/07/1987|MINERVA|14/07/1987|0.00.00|12.76|44.95|27|||16.5|37.43|||||||||||||||||||151||2389.44|4947.4|15|7|1987|090F1|175|20|250|10|455||
12.76|44.95|-18.00|5720|PCO07|041D0_14/07/1987|MINERVA|14/07/1987|0.00.00|12.76|44.95|27|||14.97|37.6|||||||||||||||||||180||2389.44|4947.4|15|7|1987|090F1|950|215|580|0|1750||
12.76|44.95|-19.90|5721|PCO07|041D0_14/07/1987|MINERVA|14/07/1987|0.00.00|12.76|44.95|27|||14.28|37.8|||||||||||||||||||199||2389.44|4947.4|15|7|1987|090F1|575|75|140|10|810||
12.76|44.95|-24.90|5722|PCO07|041D0_14/07/1987|MINERVA|14/07/1987|0.00.00|12.76|44.95|27|||12.55|37.86|||||||||||||||||||249||2389.44|4947.4|15|7|1987|090F1|115|20|135|10|280||
13.23|44.95|-0.50|5723|PCO07|081D_14/07/1987|MINERVA|14/07/1987|14.15|13.23|44.95|39||20|25.23|35.69||8.14||5.04||0.32|0.03|0.06|0.05|3.1|0.26||||||0.66||||||||||||||||
13.23|44.95|-5.00|5724|PCO07|081D_14/07/1987|MINERVA|14/07/1987|14.15|13.23|44.95|39||20|23.11|36.7||8.15||5.25||0.24|0.05|0.04|0.04|1.61|0.23||||||0.61||||||||||||||||
13.23|44.95|-10.00|5725|PCO07|081D_14/07/1987|MINERVA|14/07/1987|14.15|13.23|44.95|39||20|22.61|37.97||8.14||5.03||0.27|0.05|0.03|0.03|1.22|0.29||||||0.48||||||||||||||||
13.23|44.95|-20.00|5726|PCO07|081D_14/07/1987|MINERVA|14/07/1987|14.15|13.23|44.95|39||20|18.36|38.34||8.18||5.79||0.32|0.07|0.09|0.04|0.97|0.37||||||0.99||||||||||||||||
